# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 1350 0 0 40175 4664
p 2 0 605 745 14640 924
p 2 0 608 742 15378 971
p 2 0 653 697 16921 1084
p 2 0 663 687 17494 1098
p 2 0 693 657 18309 1186
p 2 0 696 654 18262 1196
p 2 0 681 669 17928 1169
p 2 8 1311 31 8615 2890
p 2 0 1127 223 4628 2104
p 2 0 1214 136 5364 2224
p 2 0 1178 172 4776 1999
p 2 0 1204 146 5067 2047
p 2 0 1188 162 4611 1929
p 2 0 1215 135 5032 2006
p 2 0 1203 147 4771 1949
p 2 0 1230 120 5326 2013
p 2 0 1198 152 4938 1897
p 2 0 1192 158 4553 1863
p 2 0 1182 168 4391 1841
p 2 0 1189 161 5058 1894
p 2 0 1214 136 5229 1964
p 2 0 1231 119 5290 1989
p 2 0 1218 132 4869 1905
p 2 0 1237 113 5510 2011
p 2 0 1218 132 5237 1962
p 2 0 1255 95 5678 2030
p 2 0 1235 115 5150 1951
p 2 0 1236 114 5056 1964
p 2 0 1224 126 5283 1968
p 2 0 1230 120 5370 1990
p 2 0 1231 119 4821 1940
p 2 0 1234 116 5324 1968
p 2 0 1193 157 4803 1861
p 2 0 1226 124 5212 1934
p 2 0 1208 142 5168 1906
p 2 0 1256 94 6252 2123
p 2 0 1279 71 5852 2097
p 2 0 1280 70 5664 2120
p 2 0 1246 104 5604 2055
p 2 0 1280 70 6593 2193
p 2 0 1317 33 6996 2257
p 2 0 1308 42 6971 2304
p 2 0 1311 39 7271 2328
p 2 0 1271 79 6132 2171
p 2 0 1296 54 6598 2252
p 2 0 1276 74 6189 2184
p 2 0 1308 42 6871 2279
p 2 0 1307 43 6763 2264
p 2 0 1292 58 6347 2199
p 2 0 1316 34 6956 2346
p 2 0 1320 30 7273 2361
p 2 0 1299 51 6914 2321
p 2 0 1312 38 6633 2289
p 2 0 1298 52 6757 2284
p 2 0 1286 64 6147 2163
p 2 0 1281 69 6308 2180
p 2 0 1296 54 6498 2246
p 2 0 1294 56 6929 2298
p 2 0 1292 58 6863 2310
p 2 0 1348 2 7922 2499
p 2 0 1309 41 6233 2280
p 2 0 1305 45 6637 2310
p 2 0 1312 38 6553 2302
p 2 0 1312 38 6870 2360
p 2 0 1314 36 6618 2337
p 2 0 1308 42 6926 2357
p 2 0 1322 28 7153 2414
p 2 0 1321 29 6982 2452
p 2 0 1327 23 7061 2405
p 2 0 1324 26 7360 2499
p 2 0 1324 26 7085 2442
p 2 0 1315 35 6974 2407
p 2 0 1325 25 6901 2383
p 2 0 1321 29 6950 2394
p 2 0 1310 40 6335 2285
p 2 0 1292 58 6017 2250
p 2 0 1299 51 6502 2245
p 2 0 1309 41 7035 2333
p 2 0 1292 58 6375 2198
p 2 0 1316 34 6927 2294
p 2 0 1281 69 6415 2206
p 2 0 1301 49 6384 2199
p 2 0 1261 89 6534 2193
p 2 0 1290 60 6439 2248
p 2 0 1304 46 6844 2304
p 2 0 1309 41 6585 2290
p 2 0 1282 68 6237 2215
p 2 0 1294 56 6471 2247
p 2 0 1300 50 6675 2269
p 2 0 1301 49 6570 2275
p 2 0 1285 65 6166 2181
p 2 0 1274 76 6260 2156
p 2 0 1293 57 6748 2218
p 2 0 1321 29 7544 2391
p 2 0 1315 35 6957 2350
p 2 0 1308 42 6675 2319
p 2 0 1288 62 6802 2270
p 2 0 1295 55 6703 2311
p 2 0 1310 40 6678 2351
p 2 0 1288 62 6129 2218
p 2 0 1283 67 6396 2196
p 2 0 1297 53 6562 2269
p 2 0 1298 52 6520 2242
p 2 0 1310 40 6859 2243
p 2 0 1309 41 6705 2295
p 2 0 1307 43 6982 2307
p 2 0 1314 36 7184 2294
p 2 0 1297 53 6567 2227
p 2 0 1311 39 7027 2334
p 2 0 1319 31 7113 2350
p 2 0 1279 71 6898 2278
p 2 0 1301 49 6858 2240
p 2 0 1305 45 7007 2323
p 2 0 1316 34 6922 2308
p 2 0 1312 38 6641 2301
p 2 0 1299 51 6042 2208
p 2 0 1280 70 5848 2134
p 2 0 1308 42 6917 2300
p 2 0 1306 44 6893 2300
p 2 0 1347 3 8169 2486
p 2 0 1312 38 6519 2283
p 2 0 1300 50 6001 2197
p 2 0 1296 54 5807 2175
p 2 0 1287 63 5291 2073
p 2 0 1261 89 5497 2088
p 2 0 1310 40 5891 2179
p 2 0 1282 68 5585 2136
p 2 0 1268 82 4752 1969
p 2 0 1255 95 4671 1955
p 2 0 1242 108 4809 1958
p 2 0 1223 127 4769 1939
p 2 0 1250 100 5218 2023
p 2 0 1272 78 5049 2004
p 2 0 1267 83 5145 2020
p 2 0 1221 129 4696 1914
p 2 0 1250 100 5247 2006
p 2 0 1222 128 4838 1937
p 2 0 1236 114 4838 1921
p 2 0 1205 145 4762 1892
p 2 0 1235 115 4731 1910
p 2 0 1216 134 4882 1894
p 2 0 1207 143 4571 1840
p 2 0 1223 127 4765 1874
p 2 0 1221 129 4931 1921
p 2 0 1225 125 4813 1901
p 2 0 1237 113 5210 1952
p 2 0 1210 140 4813 1912
p 2 0 1219 131 5180 1956
p 2 0 1202 148 5174 1927
p 2 0 1211 139 5065 1918
p 2 0 1222 128 4851 1913
p 2 0 1224 126 5053 1919
p 2 0 1154 196 4350 1782
p 2 0 1195 155 4694 1818
p 2 0 1188 162 4754 1854
p 2 0 1221 129 5045 1915
p 2 0 1222 128 4955 1897
p 2 0 1226 124 5382 1955
p 2 0 1205 145 4588 1840
p 2 0 1188 162 4240 1772
p 2 0 1174 176 4658 1821
p 2 0 1226 124 5097 1934
p 2 0 1209 141 4713 1878
p 2 0 1258 92 5612 2019
p 2 0 1220 130 4939 1912
p 2 0 1245 105 5590 2016
p 2 0 1272 78 5615 2106
p 2 0 1240 110 5322 2047
p 2 0 1265 85 5486 2042
p 2 0 1251 99 5405 2026
p 2 0 1236 114 3855 1743
p 2 0 1284 66 6582 2185
p 2 0 1305 45 6641 2290
p 2 0 1302 48 5839 2131
p 2 0 1275 75 5467 2053
p 2 0 1268 82 5610 2097
p 2 0 1253 97 5214 1968
p 2 0 1259 91 5478 2015
p 2 0 1226 124 5372 1997
p 2 0 1341 9 7983 2463
p 2 0 1293 57 6801 2321
p 2 0 1329 21 7061 2398
p 2 0 1300 50 6059 2240
p 2 0 1303 47 5765 2223
p 2 0 1274 76 5677 2139
p 2 0 1279 71 5696 2136
p 2 0 1241 109 5296 1942
p 2 0 1259 91 5826 2015
p 2 0 1245 105 5756 1950
